id,category,info,last_updated
7090,Locations,"PGs available in Baner, Kharadi, Talwade, Pimple Saudagar, Hinjawadi",2025-01-26
7091,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Baner, Kharadi, Talwade",2025-01-26
7092,Availability,1 Shared rooms available in Pimple Saudagar,2025-01-26
7093,Availability,6 Shared rooms available in Kharadi,2025-01-25
7094,Pricing,Shared room in Baner: ₹8588/month,2025-01-28
7095,Pricing,Private room in Hinjawadi: ₹14051/month,2025-01-04
7096,Pricing,Shared room in Pimple Saudagar: ₹13962/month,2025-01-23
7097,Offers,Free first-week meals,2025-02-03
7098,Pricing,Shared room in Talwade: ₹18990/month,2025-02-03
7099,Availability,5 Shared rooms available in Hinjawadi,2025-01-07
7100,Availability,5 Executive rooms available in Hinjawadi,2025-01-29
7101,Pricing,Private room in Pimple Saudagar: ₹15069/month,2025-01-09
7102,Offers,Free first-week meals,2025-01-04
7103,Offers,Free first-week meals,2025-01-30
7104,Pricing,Executive room in Hinjawadi: ₹12310/month,2025-01-30
7105,Offers,Free first-week meals,2025-01-28
7106,Pricing,Private room in Baner: ₹16218/month,2025-01-13
7107,Availability,6 Shared rooms available in Kharadi,2025-01-10
7108,Availability,1 Private rooms available in Baner,2025-01-15
7109,Pricing,Private room in Talwade: ₹15615/month,2025-01-26
7110,Locations,"PGs available in Kharadi, Baner, Hinjawadi",2025-01-19
7111,Locations,"PGs available in Talwade, Hinjawadi, Baner, Kharadi, Pimple Saudagar",2025-01-17
7112,Availability,9 Executive rooms available in Baner,2025-01-05
7113,Offers,₹2000 off for 6-month stays,2025-01-11
7114,Pricing,Private room in Kharadi: ₹17885/month,2025-01-17
7115,Pricing,Executive room in Baner: ₹18080/month,2025-02-03
7116,Offers,₹2000 off for 6-month stays,2025-01-26
7117,Pricing,Shared room in Pimple Saudagar: ₹12435/month,2025-01-08
7118,Locations,"PGs available in Talwade, Kharadi",2025-01-19
7119,Offers,₹2000 off for 6-month stays,2025-01-16
7120,Availability,6 Private rooms available in Kharadi,2025-02-03
7121,Availability,1 Executive rooms available in Pimple Saudagar,2025-01-22
7122,Locations,"PGs available in Pimple Saudagar, Kharadi, Baner, Talwade, Hinjawadi",2025-01-17
7123,Offers,₹2000 off for 6-month stays,2025-01-28
7124,Locations,"PGs available in Pimple Saudagar, Baner, Hinjawadi, Kharadi",2025-01-17
7125,Availability,8 Executive rooms available in Pimple Saudagar,2025-01-10
7126,Offers,10% discount for new customers,2025-01-28
7127,Offers,10% discount for new customers,2025-01-18
7128,Offers,10% discount for new customers,2025-01-27
7129,Offers,Free first-week meals,2025-02-03
7130,Pricing,Private room in Pimple Saudagar: ₹9957/month,2025-02-02
7131,Pricing,Executive room in Hinjawadi: ₹12366/month,2025-01-10
7132,Pricing,Executive room in Baner: ₹15290/month,2025-01-14
7133,Pricing,Executive room in Kharadi: ₹17607/month,2025-01-25
7134,Offers,₹2000 off for 6-month stays,2025-01-07
7135,Offers,10% discount for new customers,2025-01-18
7136,Offers,10% discount for new customers,2025-01-04
7137,Availability,9 Shared rooms available in Baner,2025-01-21
7138,Locations,"PGs available in Baner, Pimple Saudagar, Hinjawadi",2025-01-30
7139,Pricing,Shared room in Pimple Saudagar: ₹10739/month,2025-01-22
7140,Offers,Free first-week meals,2025-02-02
7141,Locations,"PGs available in Baner, Kharadi, Pimple Saudagar, Talwade",2025-02-02
7142,Locations,"PGs available in Hinjawadi, Baner",2025-01-22
7143,Pricing,Shared room in Hinjawadi: ₹16016/month,2025-01-10
7144,Availability,2 Private rooms available in Talwade,2025-01-05
7145,Pricing,Executive room in Baner: ₹15343/month,2025-01-14
7146,Pricing,Private room in Pimple Saudagar: ₹10758/month,2025-01-11
7147,Pricing,Private room in Baner: ₹14948/month,2025-01-20
7148,Availability,5 Private rooms available in Kharadi,2025-01-20
7149,Availability,3 Executive rooms available in Kharadi,2025-01-19
7150,Offers,₹2000 off for 6-month stays,2025-01-13
7151,Pricing,Private room in Hinjawadi: ₹8451/month,2025-01-29
7152,Locations,"PGs available in Kharadi, Talwade, Hinjawadi",2025-01-20
7153,Locations,"PGs available in Baner, Kharadi, Talwade, Pimple Saudagar, Hinjawadi",2025-01-24
7154,Pricing,Shared room in Talwade: ₹12966/month,2025-01-31
7155,Pricing,Executive room in Kharadi: ₹14872/month,2025-01-10
7156,Availability,9 Executive rooms available in Kharadi,2025-01-19
7157,Offers,Free first-week meals,2025-02-01
7158,Availability,3 Shared rooms available in Kharadi,2025-02-01
7159,Pricing,Shared room in Hinjawadi: ₹11318/month,2025-01-18
7160,Pricing,Executive room in Pimple Saudagar: ₹8396/month,2025-02-02
7161,Pricing,Shared room in Hinjawadi: ₹19235/month,2025-01-23
7162,Locations,"PGs available in Baner, Hinjawadi, Kharadi",2025-01-12
7163,Offers,10% discount for new customers,2025-02-01
7164,Availability,8 Executive rooms available in Hinjawadi,2025-01-05
7165,Locations,"PGs available in Talwade, Pimple Saudagar, Hinjawadi, Baner",2025-01-10
7166,Locations,"PGs available in Kharadi, Pimple Saudagar, Baner",2025-01-23
7167,Offers,10% discount for new customers,2025-02-02
7168,Availability,4 Executive rooms available in Pimple Saudagar,2025-01-11
7169,Locations,"PGs available in Talwade, Hinjawadi, Baner, Kharadi, Pimple Saudagar",2025-01-25
7170,Availability,2 Shared rooms available in Pimple Saudagar,2025-01-16
7171,Availability,3 Private rooms available in Kharadi,2025-01-26
7172,Availability,2 Private rooms available in Kharadi,2025-01-15
7173,Pricing,Private room in Pimple Saudagar: ₹11398/month,2025-01-15
7174,Pricing,Executive room in Kharadi: ₹15705/month,2025-01-29
7175,Pricing,Shared room in Baner: ₹9881/month,2025-01-08
7176,Offers,₹2000 off for 6-month stays,2025-01-19
7177,Locations,"PGs available in Talwade, Hinjawadi",2025-01-04
7178,Locations,"PGs available in Pimple Saudagar, Kharadi",2025-01-20
7179,Offers,₹2000 off for 6-month stays,2025-01-05
7180,Offers,10% discount for new customers,2025-02-03
7181,Locations,"PGs available in Talwade, Baner, Pimple Saudagar, Hinjawadi, Kharadi",2025-01-25
7182,Locations,"PGs available in Hinjawadi, Baner",2025-01-13
7183,Offers,₹2000 off for 6-month stays,2025-01-18
7184,Offers,10% discount for new customers,2025-01-22
7185,Locations,"PGs available in Baner, Talwade, Kharadi, Hinjawadi",2025-01-18
7186,Offers,10% discount for new customers,2025-01-19
7187,Pricing,Private room in Hinjawadi: ₹17969/month,2025-01-08
7188,Locations,"PGs available in Talwade, Hinjawadi",2025-01-23
7189,Locations,"PGs available in Hinjawadi, Talwade, Pimple Saudagar",2025-01-31
7190,Offers,₹2000 off for 6-month stays,2025-01-23
7191,Pricing,Executive room in Pimple Saudagar: ₹15924/month,2025-01-05
7192,Locations,"PGs available in Hinjawadi, Talwade",2025-01-24
7193,Availability,4 Private rooms available in Talwade,2025-02-01
7194,Locations,"PGs available in Pimple Saudagar, Talwade, Kharadi",2025-01-06
7195,Locations,"PGs available in Baner, Hinjawadi, Talwade, Pimple Saudagar, Kharadi",2025-01-14
7196,Availability,4 Private rooms available in Pimple Saudagar,2025-01-09
7197,Availability,10 Shared rooms available in Baner,2025-01-07
7198,Pricing,Private room in Pimple Saudagar: ₹9813/month,2025-01-13
7199,Availability,1 Shared rooms available in Hinjawadi,2025-01-13
7200,Pricing,Private room in Hinjawadi: ₹18452/month,2025-01-25
7201,Offers,10% discount for new customers,2025-01-31
7202,Offers,10% discount for new customers,2025-01-05
7203,Locations,"PGs available in Baner, Hinjawadi, Pimple Saudagar, Talwade",2025-01-11
7204,Locations,"PGs available in Hinjawadi, Baner, Pimple Saudagar",2025-01-12
7205,Offers,₹2000 off for 6-month stays,2025-01-22
7206,Locations,"PGs available in Hinjawadi, Kharadi, Baner",2025-01-31
7207,Pricing,Private room in Talwade: ₹16109/month,2025-01-11
7208,Availability,8 Private rooms available in Hinjawadi,2025-01-04
7209,Locations,"PGs available in Talwade, Kharadi, Pimple Saudagar, Baner",2025-01-17
7210,Offers,₹2000 off for 6-month stays,2025-01-20
7211,Pricing,Executive room in Pimple Saudagar: ₹15149/month,2025-01-28
7212,Locations,"PGs available in Talwade, Kharadi, Baner, Hinjawadi, Pimple Saudagar",2025-01-26
7213,Offers,₹2000 off for 6-month stays,2025-01-28
7214,Pricing,Executive room in Kharadi: ₹13642/month,2025-01-30
7215,Availability,4 Executive rooms available in Kharadi,2025-01-08
7216,Availability,3 Shared rooms available in Baner,2025-02-02
7217,Offers,₹2000 off for 6-month stays,2025-01-05
7218,Availability,9 Private rooms available in Baner,2025-01-12
7219,Availability,3 Shared rooms available in Baner,2025-01-08
7220,Pricing,Shared room in Baner: ₹10854/month,2025-01-13
7221,Offers,Free first-week meals,2025-01-30
7222,Pricing,Private room in Baner: ₹18623/month,2025-01-15
7223,Availability,4 Executive rooms available in Baner,2025-01-21
7224,Pricing,Shared room in Baner: ₹11350/month,2025-01-09
7225,Pricing,Executive room in Talwade: ₹8167/month,2025-01-06
7226,Locations,"PGs available in Hinjawadi, Baner, Pimple Saudagar, Kharadi",2025-01-15
7227,Availability,5 Private rooms available in Hinjawadi,2025-02-03
7228,Offers,10% discount for new customers,2025-01-21
7229,Availability,10 Executive rooms available in Baner,2025-01-25
7230,Locations,"PGs available in Kharadi, Talwade, Hinjawadi, Pimple Saudagar, Baner",2025-01-07
7231,Pricing,Private room in Pimple Saudagar: ₹19945/month,2025-02-01
7232,Availability,5 Shared rooms available in Hinjawadi,2025-01-24
7233,Pricing,Executive room in Talwade: ₹19029/month,2025-01-31
7234,Pricing,Private room in Pimple Saudagar: ₹11882/month,2025-01-16
7235,Offers,10% discount for new customers,2025-01-09
7236,Pricing,Private room in Hinjawadi: ₹19136/month,2025-01-17
7237,Offers,10% discount for new customers,2025-01-23
7238,Offers,10% discount for new customers,2025-01-19
7239,Locations,"PGs available in Pimple Saudagar, Kharadi, Baner",2025-01-13
7240,Offers,10% discount for new customers,2025-01-18
7241,Pricing,Private room in Baner: ₹9681/month,2025-01-31
7242,Availability,10 Private rooms available in Hinjawadi,2025-01-26
7243,Locations,"PGs available in Kharadi, Baner, Pimple Saudagar, Hinjawadi",2025-01-21
7244,Pricing,Executive room in Kharadi: ₹11665/month,2025-01-07
7245,Locations,"PGs available in Hinjawadi, Talwade, Kharadi, Baner",2025-01-24
7246,Availability,9 Private rooms available in Kharadi,2025-01-09
7247,Locations,"PGs available in Talwade, Pimple Saudagar, Kharadi",2025-01-24
7248,Offers,Free first-week meals,2025-01-05
7249,Availability,9 Shared rooms available in Talwade,2025-01-18
7250,Pricing,Private room in Kharadi: ₹12846/month,2025-01-21
7251,Offers,10% discount for new customers,2025-01-23
7252,Offers,Free first-week meals,2025-02-02
7253,Pricing,Private room in Baner: ₹8051/month,2025-01-22
7254,Offers,10% discount for new customers,2025-01-06
7255,Pricing,Executive room in Baner: ₹10241/month,2025-01-06
7256,Offers,₹2000 off for 6-month stays,2025-02-03
7257,Locations,"PGs available in Kharadi, Hinjawadi, Talwade",2025-01-19
7258,Offers,Free first-week meals,2025-02-03
7259,Pricing,Private room in Pimple Saudagar: ₹18104/month,2025-01-25
7260,Availability,3 Executive rooms available in Kharadi,2025-01-26
7261,Locations,"PGs available in Baner, Kharadi, Pimple Saudagar",2025-01-13
7262,Availability,4 Shared rooms available in Hinjawadi,2025-01-17
7263,Offers,Free first-week meals,2025-01-23
7264,Offers,Free first-week meals,2025-01-06
7265,Locations,"PGs available in Hinjawadi, Baner",2025-01-11
7266,Availability,7 Private rooms available in Talwade,2025-01-31
7267,Offers,10% discount for new customers,2025-01-23
7268,Availability,3 Executive rooms available in Kharadi,2025-01-19
7269,Locations,"PGs available in Baner, Talwade",2025-01-24
7270,Pricing,Shared room in Pimple Saudagar: ₹19503/month,2025-01-23
7271,Pricing,Executive room in Kharadi: ₹11810/month,2025-01-25
7272,Locations,"PGs available in Talwade, Kharadi, Hinjawadi",2025-01-10
7273,Offers,₹2000 off for 6-month stays,2025-01-11
7274,Pricing,Private room in Baner: ₹10223/month,2025-01-18
7275,Locations,"PGs available in Hinjawadi, Talwade, Kharadi, Pimple Saudagar",2025-01-26
7276,Locations,"PGs available in Kharadi, Hinjawadi, Baner",2025-02-01
7277,Pricing,Shared room in Baner: ₹19519/month,2025-01-07
7278,Pricing,Executive room in Kharadi: ₹16095/month,2025-01-04
7279,Locations,"PGs available in Baner, Hinjawadi, Talwade, Pimple Saudagar",2025-01-21
7280,Availability,8 Shared rooms available in Hinjawadi,2025-02-01
7281,Availability,2 Private rooms available in Talwade,2025-01-26
7282,Pricing,Shared room in Pimple Saudagar: ₹17973/month,2025-01-08
7283,Availability,6 Private rooms available in Baner,2025-01-24
7284,Availability,3 Private rooms available in Talwade,2025-02-02
7285,Offers,10% discount for new customers,2025-01-27
7286,Availability,6 Shared rooms available in Baner,2025-01-16
7287,Pricing,Private room in Talwade: ₹12161/month,2025-01-28
7288,Pricing,Private room in Kharadi: ₹19699/month,2025-01-17
7289,Availability,7 Private rooms available in Baner,2025-01-10
7290,Locations,"PGs available in Talwade, Baner",2025-01-26
7291,Pricing,Private room in Hinjawadi: ₹13351/month,2025-01-20
7292,Offers,₹2000 off for 6-month stays,2025-01-08
7293,Offers,10% discount for new customers,2025-01-05
7294,Pricing,Private room in Talwade: ₹8027/month,2025-02-01
7295,Locations,"PGs available in Baner, Pimple Saudagar, Talwade",2025-01-28
7296,Availability,8 Private rooms available in Kharadi,2025-01-27
7297,Locations,"PGs available in Hinjawadi, Kharadi, Pimple Saudagar, Baner, Talwade",2025-02-03
7298,Availability,7 Shared rooms available in Kharadi,2025-01-25
7299,Offers,₹2000 off for 6-month stays,2025-01-05
7300,Offers,Free first-week meals,2025-01-25
7301,Pricing,Executive room in Baner: ₹15909/month,2025-01-25
7302,Offers,Free first-week meals,2025-01-27
7303,Availability,6 Executive rooms available in Talwade,2025-01-08
7304,Locations,"PGs available in Hinjawadi, Kharadi",2025-01-10
7305,Pricing,Private room in Pimple Saudagar: ₹14147/month,2025-01-22
7306,Availability,6 Private rooms available in Kharadi,2025-01-18
7307,Pricing,Private room in Talwade: ₹15871/month,2025-02-01
7308,Availability,3 Executive rooms available in Kharadi,2025-01-23
7309,Pricing,Private room in Kharadi: ₹9281/month,2025-01-20
7310,Pricing,Shared room in Pimple Saudagar: ₹9012/month,2025-01-10
7311,Pricing,Private room in Hinjawadi: ₹14579/month,2025-01-20
7312,Availability,1 Private rooms available in Hinjawadi,2025-01-28
7313,Offers,10% discount for new customers,2025-01-17
7314,Locations,"PGs available in Pimple Saudagar, Hinjawadi",2025-01-08
7315,Offers,₹2000 off for 6-month stays,2025-01-15
7316,Availability,9 Executive rooms available in Talwade,2025-01-30
7317,Offers,Free first-week meals,2025-02-02
7318,Availability,4 Private rooms available in Talwade,2025-01-30
7319,Availability,6 Private rooms available in Talwade,2025-01-13
7320,Locations,"PGs available in Kharadi, Talwade, Pimple Saudagar, Baner",2025-01-08
7321,Locations,"PGs available in Kharadi, Talwade, Pimple Saudagar",2025-01-30
7322,Pricing,Shared room in Talwade: ₹17599/month,2025-02-03
7323,Pricing,Executive room in Kharadi: ₹18046/month,2025-01-11
7324,Availability,1 Private rooms available in Hinjawadi,2025-01-18
7325,Availability,10 Executive rooms available in Kharadi,2025-01-25
7326,Pricing,Private room in Hinjawadi: ₹16129/month,2025-01-15
7327,Offers,₹2000 off for 6-month stays,2025-01-18
7328,Offers,10% discount for new customers,2025-01-28
7329,Pricing,Executive room in Pimple Saudagar: ₹10354/month,2025-01-23
7330,Offers,₹2000 off for 6-month stays,2025-01-16
7331,Offers,Free first-week meals,2025-01-10
7332,Pricing,Private room in Kharadi: ₹9704/month,2025-01-21
7333,Locations,"PGs available in Baner, Hinjawadi, Pimple Saudagar, Talwade, Kharadi",2025-01-19
7334,Locations,"PGs available in Pimple Saudagar, Baner, Kharadi, Hinjawadi, Talwade",2025-01-28
7335,Pricing,Shared room in Kharadi: ₹12813/month,2025-01-04
7336,Pricing,Shared room in Baner: ₹14475/month,2025-01-27
7337,Locations,"PGs available in Pimple Saudagar, Talwade",2025-01-17
7338,Availability,5 Shared rooms available in Pimple Saudagar,2025-01-23
7339,Pricing,Shared room in Pimple Saudagar: ₹10107/month,2025-02-03
7340,Locations,"PGs available in Talwade, Hinjawadi, Kharadi, Pimple Saudagar, Baner",2025-01-04
7341,Offers,10% discount for new customers,2025-02-03
7342,Offers,₹2000 off for 6-month stays,2025-01-28
7343,Locations,"PGs available in Hinjawadi, Baner, Kharadi, Pimple Saudagar",2025-01-30
7344,Offers,10% discount for new customers,2025-01-14
7345,Availability,2 Executive rooms available in Talwade,2025-01-18
7346,Locations,"PGs available in Hinjawadi, Talwade",2025-01-30
7347,Availability,7 Shared rooms available in Baner,2025-02-03
7348,Pricing,Executive room in Pimple Saudagar: ₹19503/month,2025-01-16
7349,Availability,9 Executive rooms available in Talwade,2025-01-10
7350,Pricing,Executive room in Hinjawadi: ₹16902/month,2025-01-13
7351,Offers,10% discount for new customers,2025-01-24
7352,Offers,10% discount for new customers,2025-01-21
7353,Availability,1 Shared rooms available in Talwade,2025-01-28
7354,Pricing,Private room in Pimple Saudagar: ₹17419/month,2025-01-21
7355,Pricing,Private room in Talwade: ₹19145/month,2025-02-02
7356,Pricing,Executive room in Talwade: ₹12329/month,2025-01-07
7357,Availability,2 Private rooms available in Talwade,2025-01-07
7358,Pricing,Private room in Pimple Saudagar: ₹16348/month,2025-01-10
7359,Pricing,Shared room in Pimple Saudagar: ₹18265/month,2025-01-20
7360,Offers,₹2000 off for 6-month stays,2025-01-30
7361,Locations,"PGs available in Hinjawadi, Talwade, Kharadi, Pimple Saudagar, Baner",2025-01-12
7362,Locations,"PGs available in Baner, Kharadi, Talwade, Hinjawadi, Pimple Saudagar",2025-01-09
7363,Locations,"PGs available in Pimple Saudagar, Hinjawadi, Talwade",2025-01-26
7364,Locations,"PGs available in Baner, Talwade",2025-01-18
7365,Availability,1 Private rooms available in Baner,2025-01-22
7366,Offers,₹2000 off for 6-month stays,2025-01-12
7367,Locations,"PGs available in Talwade, Hinjawadi, Pimple Saudagar, Kharadi",2025-01-26
7368,Pricing,Shared room in Pimple Saudagar: ₹14962/month,2025-01-27
7369,Offers,Free first-week meals,2025-01-13
7370,Availability,6 Private rooms available in Pimple Saudagar,2025-02-01
7371,Pricing,Shared room in Talwade: ₹9289/month,2025-01-17
7372,Availability,1 Shared rooms available in Hinjawadi,2025-01-31
7373,Locations,"PGs available in Talwade, Kharadi, Hinjawadi, Baner, Pimple Saudagar",2025-01-09
7374,Pricing,Executive room in Baner: ₹17878/month,2025-01-14
7375,Pricing,Shared room in Hinjawadi: ₹8142/month,2025-01-28
7376,Pricing,Private room in Talwade: ₹18193/month,2025-01-23
7377,Availability,10 Shared rooms available in Baner,2025-01-18
7378,Offers,10% discount for new customers,2025-01-18
7379,Availability,2 Private rooms available in Hinjawadi,2025-01-27
7380,Offers,10% discount for new customers,2025-01-17
7381,Offers,₹2000 off for 6-month stays,2025-01-06
7382,Locations,"PGs available in Pimple Saudagar, Baner, Hinjawadi, Kharadi",2025-01-12
7383,Pricing,Executive room in Pimple Saudagar: ₹9172/month,2025-01-20
7384,Locations,"PGs available in Baner, Talwade",2025-01-09
7385,Availability,8 Shared rooms available in Kharadi,2025-01-08
7386,Offers,10% discount for new customers,2025-01-13
7387,Offers,10% discount for new customers,2025-01-23
7388,Locations,"PGs available in Baner, Pimple Saudagar, Talwade, Kharadi, Hinjawadi",2025-01-31
7389,Locations,"PGs available in Talwade, Pimple Saudagar",2025-01-22
7390,Offers,10% discount for new customers,2025-01-09
7391,Availability,10 Private rooms available in Baner,2025-01-28
7392,Offers,Free first-week meals,2025-01-10
7393,Offers,Free first-week meals,2025-01-09
7394,Locations,"PGs available in Pimple Saudagar, Hinjawadi, Talwade, Kharadi, Baner",2025-01-18
7395,Offers,₹2000 off for 6-month stays,2025-01-14
7396,Offers,₹2000 off for 6-month stays,2025-01-09
7397,Offers,10% discount for new customers,2025-01-18
7398,Pricing,Shared room in Hinjawadi: ₹12656/month,2025-01-18
7399,Pricing,Private room in Baner: ₹14464/month,2025-01-05
7400,Availability,5 Executive rooms available in Talwade,2025-01-21
7401,Locations,"PGs available in Pimple Saudagar, Kharadi, Baner, Talwade",2025-01-06
7402,Offers,₹2000 off for 6-month stays,2025-01-13
7403,Offers,10% discount for new customers,2025-01-31
7404,Offers,10% discount for new customers,2025-01-27
7405,Availability,4 Shared rooms available in Pimple Saudagar,2025-01-30
7406,Pricing,Private room in Talwade: ₹19861/month,2025-01-20
7407,Pricing,Executive room in Hinjawadi: ₹18759/month,2025-01-15
7408,Pricing,Executive room in Baner: ₹19439/month,2025-01-30
7409,Locations,"PGs available in Talwade, Kharadi, Baner, Pimple Saudagar, Hinjawadi",2025-01-26
7410,Availability,10 Executive rooms available in Kharadi,2025-01-06
7411,Pricing,Private room in Hinjawadi: ₹8095/month,2025-01-16
7412,Offers,Free first-week meals,2025-02-03
7413,Availability,3 Shared rooms available in Kharadi,2025-01-06
7414,Availability,5 Private rooms available in Talwade,2025-01-18
7415,Offers,₹2000 off for 6-month stays,2025-01-07
7416,Locations,"PGs available in Kharadi, Baner, Talwade, Hinjawadi, Pimple Saudagar",2025-01-30
7417,Locations,"PGs available in Kharadi, Pimple Saudagar, Talwade",2025-01-07
7418,Pricing,Executive room in Pimple Saudagar: ₹18478/month,2025-02-03
7419,Locations,"PGs available in Talwade, Pimple Saudagar, Baner",2025-01-19
7420,Availability,5 Shared rooms available in Talwade,2025-02-01
7421,Locations,"PGs available in Hinjawadi, Baner, Kharadi, Pimple Saudagar, Talwade",2025-01-16
7422,Locations,"PGs available in Pimple Saudagar, Hinjawadi, Talwade",2025-01-23
7423,Offers,Free first-week meals,2025-01-14
7424,Offers,₹2000 off for 6-month stays,2025-01-24
7425,Offers,10% discount for new customers,2025-01-20
7426,Availability,10 Private rooms available in Hinjawadi,2025-02-03
7427,Offers,10% discount for new customers,2025-01-11
7428,Availability,10 Shared rooms available in Baner,2025-01-19
7429,Pricing,Private room in Baner: ₹8817/month,2025-01-16
7430,Offers,₹2000 off for 6-month stays,2025-01-11
7431,Pricing,Shared room in Kharadi: ₹19428/month,2025-01-14
7432,Availability,2 Executive rooms available in Pimple Saudagar,2025-01-10
7433,Pricing,Private room in Pimple Saudagar: ₹15404/month,2025-01-10
7434,Locations,"PGs available in Baner, Pimple Saudagar",2025-01-04
7435,Offers,₹2000 off for 6-month stays,2025-01-25
7436,Locations,"PGs available in Hinjawadi, Baner, Pimple Saudagar",2025-01-21
7437,Availability,1 Private rooms available in Kharadi,2025-01-22
7438,Pricing,Shared room in Hinjawadi: ₹15506/month,2025-01-04
7439,Locations,"PGs available in Baner, Pimple Saudagar, Hinjawadi",2025-01-08
7440,Offers,₹2000 off for 6-month stays,2025-01-13
7441,Offers,10% discount for new customers,2025-01-23
7442,Locations,"PGs available in Pimple Saudagar, Talwade",2025-01-07
7443,Pricing,Private room in Hinjawadi: ₹11190/month,2025-01-23
7444,Offers,10% discount for new customers,2025-02-02
7445,Availability,10 Private rooms available in Kharadi,2025-01-08
7446,Locations,"PGs available in Talwade, Hinjawadi, Kharadi, Baner, Pimple Saudagar",2025-01-21
7447,Offers,Free first-week meals,2025-01-29
7448,Locations,"PGs available in Kharadi, Hinjawadi, Baner, Pimple Saudagar",2025-01-10
7449,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Kharadi, Talwade",2025-01-06
7450,Availability,5 Executive rooms available in Pimple Saudagar,2025-01-29
7451,Offers,₹2000 off for 6-month stays,2025-01-19
7452,Offers,10% discount for new customers,2025-01-19
7453,Locations,"PGs available in Talwade, Hinjawadi, Kharadi, Pimple Saudagar, Baner",2025-01-29
7454,Availability,1 Executive rooms available in Talwade,2025-01-18
7455,Pricing,Shared room in Pimple Saudagar: ₹11693/month,2025-01-07
7456,Locations,"PGs available in Talwade, Hinjawadi",2025-01-10
7457,Pricing,Private room in Pimple Saudagar: ₹8463/month,2025-01-04
7458,Offers,10% discount for new customers,2025-01-16
7459,Offers,10% discount for new customers,2025-02-02
7460,Offers,Free first-week meals,2025-01-22
7461,Pricing,Private room in Talwade: ₹19754/month,2025-01-16
7462,Locations,"PGs available in Pimple Saudagar, Kharadi, Hinjawadi, Talwade",2025-01-23
7463,Offers,10% discount for new customers,2025-01-14
7464,Offers,₹2000 off for 6-month stays,2025-01-23
7465,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Baner, Kharadi",2025-01-24
7466,Availability,1 Private rooms available in Hinjawadi,2025-02-03
7467,Availability,3 Shared rooms available in Baner,2025-01-10
7468,Pricing,Executive room in Kharadi: ₹10818/month,2025-01-04
7469,Offers,Free first-week meals,2025-01-12
7470,Pricing,Executive room in Hinjawadi: ₹16614/month,2025-01-14
7471,Pricing,Executive room in Baner: ₹16809/month,2025-01-08
7472,Availability,5 Private rooms available in Baner,2025-01-31
7473,Locations,"PGs available in Kharadi, Pimple Saudagar",2025-01-30
7474,Offers,Free first-week meals,2025-01-21
7475,Locations,"PGs available in Talwade, Hinjawadi, Kharadi",2025-01-19
7476,Pricing,Shared room in Talwade: ₹9097/month,2025-01-25
7477,Availability,5 Private rooms available in Baner,2025-01-20
7478,Offers,Free first-week meals,2025-02-03
7479,Pricing,Private room in Baner: ₹11980/month,2025-01-13
7480,Pricing,Shared room in Hinjawadi: ₹9542/month,2025-01-30
7481,Pricing,Private room in Talwade: ₹8832/month,2025-01-10
7482,Locations,"PGs available in Talwade, Kharadi, Hinjawadi, Baner, Pimple Saudagar",2025-01-15
7483,Pricing,Shared room in Pimple Saudagar: ₹16165/month,2025-01-22
7484,Locations,"PGs available in Baner, Talwade, Kharadi, Hinjawadi",2025-01-07
7485,Offers,₹2000 off for 6-month stays,2025-01-06
7486,Offers,Free first-week meals,2025-01-26
7487,Offers,₹2000 off for 6-month stays,2025-01-17
7488,Locations,"PGs available in Hinjawadi, Talwade, Kharadi, Baner, Pimple Saudagar",2025-01-29
7489,Pricing,Shared room in Hinjawadi: ₹17577/month,2025-02-03
7490,Locations,"PGs available in Hinjawadi, Baner, Talwade",2025-01-14
7491,Offers,Free first-week meals,2025-02-01
7492,Pricing,Executive room in Pimple Saudagar: ₹13126/month,2025-01-23
7493,Locations,"PGs available in Hinjawadi, Talwade, Pimple Saudagar, Baner, Kharadi",2025-01-13
7494,Pricing,Private room in Hinjawadi: ₹15656/month,2025-01-27
7495,Availability,9 Executive rooms available in Baner,2025-01-08
7496,Availability,3 Shared rooms available in Hinjawadi,2025-01-30
7497,Offers,Free first-week meals,2025-01-09
7498,Pricing,Private room in Kharadi: ₹19433/month,2025-01-29
7499,Pricing,Shared room in Kharadi: ₹15400/month,2025-02-01
7500,Pricing,Shared room in Hinjawadi: ₹17199/month,2025-01-16
7501,Availability,7 Executive rooms available in Pimple Saudagar,2025-01-11
7502,Offers,₹2000 off for 6-month stays,2025-01-12
7503,Availability,10 Executive rooms available in Talwade,2025-01-20
7504,Offers,10% discount for new customers,2025-02-01
7505,Offers,10% discount for new customers,2025-01-18
7506,Pricing,Shared room in Pimple Saudagar: ₹10849/month,2025-01-04
7507,Locations,"PGs available in Hinjawadi, Kharadi",2025-01-04
7508,Locations,"PGs available in Talwade, Baner, Pimple Saudagar, Kharadi, Hinjawadi",2025-01-14
7509,Pricing,Shared room in Baner: ₹16084/month,2025-01-06
7510,Offers,10% discount for new customers,2025-01-23
7511,Locations,"PGs available in Talwade, Kharadi, Hinjawadi",2025-01-11
7512,Availability,7 Private rooms available in Baner,2025-01-06
7513,Offers,₹2000 off for 6-month stays,2025-01-24
7514,Availability,5 Private rooms available in Hinjawadi,2025-01-18
7515,Availability,4 Executive rooms available in Kharadi,2025-01-09
